FIPS State and County Codes,Geographic area name,RAE Report Links,counties
1,Alabama,https://cbb.census.gov/rae/#industry0=00&geoId=01&geoType=state&view=report&reportType=detailed,Alabama
1001,"Autauga County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01001&geoType=county&view=report&reportType=detailed,Autauga County
1003,"Baldwin County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01003&geoType=county&view=report&reportType=detailed,Baldwin County
1005,"Barbour County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01005&geoType=county&view=report&reportType=detailed,Barbour County
1007,"Bibb County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01007&geoType=county&view=report&reportType=detailed,Bibb County
1009,"Blount County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01009&geoType=county&view=report&reportType=detailed,Blount County
1011,"Bullock County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01011&geoType=county&view=report&reportType=detailed,Bullock County
1013,"Butler County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01013&geoType=county&view=report&reportType=detailed,Butler County
1015,"Calhoun County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01015&geoType=county&view=report&reportType=detailed,Calhoun County
1017,"Chambers County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01017&geoType=county&view=report&reportType=detailed,Chambers County
1019,"Cherokee County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01019&geoType=county&view=report&reportType=detailed,Cherokee County
1021,"Chilton County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01021&geoType=county&view=report&reportType=detailed,Chilton County
1023,"Choctaw County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01023&geoType=county&view=report&reportType=detailed,Choctaw County
1025,"Clarke County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01025&geoType=county&view=report&reportType=detailed,Clarke County
1027,"Clay County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01027&geoType=county&view=report&reportType=detailed,Clay County
1029,"Cleburne County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01029&geoType=county&view=report&reportType=detailed,Cleburne County
1031,"Coffee County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01031&geoType=county&view=report&reportType=detailed,Coffee County
1033,"Colbert County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01033&geoType=county&view=report&reportType=detailed,Colbert County
1035,"Conecuh County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01035&geoType=county&view=report&reportType=detailed,Conecuh County
1037,"Coosa County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01037&geoType=county&view=report&reportType=detailed,Coosa County
1039,"Covington County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01039&geoType=county&view=report&reportType=detailed,Covington County
1041,"Crenshaw County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01041&geoType=county&view=report&reportType=detailed,Crenshaw County
